Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
2701,YX64 VOB,2014,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2702,YX64 VOC,2014,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2703,YX64 VOD,2014,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2704,YX64 VOF,2014,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2705,YX64 VOG,2014,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2706,YX64 VOH,2014,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2707,YX64 VOJ,2014,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2708,YX64 VOK,2014,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2709,HW64 AWZ,2014,Alexander-Dennis Enviro200 Classic,Damory.png,DamoryBlue.png,In Service,
2710,HW64 AXA,2014,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
2711,HW64 AXB,2014,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2712,HW64 AXC,2014,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2713,HW64 AXD,2014,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2714,HW64 AXF,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2715,HW64 AXG,2015,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
2716,HW64 AXH,2015,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
2717,HW64 AXJ,2015,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
2718,HF64 BPU,2015,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2719,HF64 BPV,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2720,HF64 BPX,2015,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2721,HF64 BPY,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2722,HF64 BPZ,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2723,HF64 BRV,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2724,HF65 AYC,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2725,HF65 AYD,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2726,HF65 AYE,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
2727,HF65 AYG,2015,Alexander-Dennis Enviro200 Classic,Salisbury.png,SRNew.png,In Service,
